,0
cycle,0.5867915583277682
unit,0.15781892041288195
sensor_11,0.14766829218074404
sensor_9,0.02668965301702653
sensor_4,0.016989941189826104
sensor_12,0.015224343856270984
sensor_14,0.011372597219882982
sensor_7,0.007598627182053343
sensor_8,0.0055858027159402645
sensor_15,0.005192574768207927
sensor_13,0.005104946239055262
sensor_21,0.0039052541212014156
sensor_2,0.002896135873839753
sensor_20,0.0023687560301298752
sensor_3,0.0023273209116173475
op_setting_1,0.0011352948217419356
op_setting_2,0.0006933615194646351
sensor_17,0.0005864617444947163
sensor_6,5.015786785277942e-05
sensor_5,0.0
op_setting_3,0.0
sensor_1,0.0
sensor_10,0.0
sensor_16,0.0
sensor_19,0.0
sensor_18,0.0
